見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
きむら,きむら,きむら,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia姓,１マントにんぎょうのまき,0,0
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,１マントにんぎょうのまき,0,0
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１マントにんぎょうのまき,0,0
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,0,0
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,0
しょうがっこう,しょうがっこう,しょうがっこう,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,１マントにんぎょうのまき,0,0
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,0
二,に,二,名詞,数詞,カテゴリ:数量,１マントにんぎょうのまき,0,0
ねん,ねん,ねん,名詞,普通名詞,代表表記:念/ねん カテゴリ:抽象物 漢字読み:音,１マントにんぎょうのまき,0,0
生,せい,生,名詞,普通名詞,代表表記:生/せい カテゴリ:抽象物 漢字読み:音,１マントにんぎょうのまき,0,0
で,で,だ,判定詞,*,NIL,１マントにんぎょうのまき,0,0
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,0
とうきょう,とうきょう,とうきょう,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,１マントにんぎょうのまき,0,0
の,の,の,助詞,格助詞,NIL,１マントにんぎょうのまき,0,0
ひろい,ひろい,ひろい,形容詞,*,代表表記:広い/ひろい 反義:形容詞:狭い/せまい,１マントにんぎょうのまき,0,0
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,１マントにんぎょうのまき,0,0
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,１マントにんぎょうのまき,0,0
に,に,に,助詞,格助詞,NIL,１マントにんぎょうのまき,0,0
すんで,すんで,すむ,動詞,*,代表表記:住む/すむ ドメイン:家庭・暮らし,１マントにんぎょうのまき,0,0
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１マントにんぎょうのまき,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１マントにんぎょうのまき,0,0
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,0
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,１マントにんぎょうのまき,0,1
とうさん,とうさん,とうさん,名詞,サ変名詞,代表表記:倒産/とうさん ドメイン:ビジネス カテゴリ:抽象物,１マントにんぎょうのまき,0,1
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,0,1
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,1
ある,ある,ある,連体詞,*,代表表記:或る/ある,１マントにんぎょうのまき,0,1
かいしゃ,かいしゃ,かいしゃ,名詞,普通名詞,代表表記:会社/かいしゃ ドメイン:ビジネス カテゴリ:組織・団体;場所-施設,１マントにんぎょうのまき,0,1
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,1
しゃちょう,しゃちょう,しゃちょう,名詞,普通名詞,代表表記:社長/しゃちょう ドメイン:ビジネス カテゴリ:人 人名末尾,１マントにんぎょうのまき,0,1
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,１マントにんぎょうのまき,0,1
です,です,だ,判定詞,*,NIL,１マントにんぎょうのまき,0,1
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,1
きむら,きむら,きむら,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia姓,１マントにんぎょうのまき,0,2
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,１マントにんぎょうのまき,0,2
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１マントにんぎょうのまき,0,2
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,2
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,１マントにんぎょうのまき,0,2
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,１マントにんぎょうのまき,0,2
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,2
ちかく,ちかく,ちかく,名詞,普通名詞,代表表記:地核/ちかく カテゴリ:場所-自然,１マントにんぎょうのまき,0,2
に,に,に,助詞,格助詞,NIL,１マントにんぎょうのまき,0,2
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,2
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,１マントにんぎょうのまき,0,2
せい,せい,せい,名詞,副詞的名詞,代表表記:せい/せい,１マントにんぎょうのまき,0,2
ようかん,ようかん,ようかん,名詞,普通名詞,代表表記:洋館/ようかん カテゴリ:場所-施設,１マントにんぎょうのまき,0,2
が,が,が,助詞,格助詞,NIL,１マントにんぎょうのまき,0,2
あって,あって,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,１マントにんぎょうのまき,0,2
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,2
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,１マントにんぎょうのまき,0,2
に,に,に,助詞,格助詞,NIL,１マントにんぎょうのまき,0,2
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,１マントにんぎょうのまき,0,2
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,１マントにんぎょうのまき,0,2
が,が,が,助詞,格助詞,NIL,１マントにんぎょうのまき,0,2
すんで,すんで,すむ,動詞,*,代表表記:住む/すむ ドメイン:家庭・暮らし,１マントにんぎょうのまき,0,2
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１マントにんぎょうのまき,0,2
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１マントにんぎょうのまき,0,2
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,2
二,に,二,名詞,数詞,カテゴリ:数量,１マントにんぎょうのまき,0,3
かい,かい,かい,名詞,普通名詞,代表表記:下位/かい カテゴリ:抽象物,１マントにんぎょうのまき,0,3
だて,だて,だてだ,形容詞,*,代表表記:伊達だ/だてだ,１マントにんぎょうのまき,0,3
の,の,の,助詞,格助詞,NIL,１マントにんぎょうのまき,0,3
ふるい,ふるい,ふるい,形容詞,*,代表表記:古い/ふるい 反義:形容詞:新しい/あたらしい,１マントにんぎょうのまき,0,3
せいよ,せいよ,せいよ,名詞,普通名詞,代表表記:声誉/せいよ 自動獲得:Wiktionary,１マントにんぎょうのまき,0,3
うかんで,うかんで,うかぶ,動詞,*,代表表記:浮かぶ/うかぶ 反義:動詞:沈む/しずむ 自他動詞:他:浮かべる/うかべる,１マントにんぎょうのまき,0,3
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,3
その,その,その,指示詞,連体詞形態指示詞,NIL,１マントにんぎょうのまき,0,3
まわり,まわり,まわり,名詞,普通名詞,代表表記:周り/まわり カテゴリ:場所-その他,１マントにんぎょうのまき,0,3
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,0,3
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,3
木,き,木,名詞,普通名詞,代表表記:木/き カテゴリ:植物 漢字読み:訓,１マントにんぎょうのまき,0,3
の,の,の,助詞,格助詞,NIL,１マントにんぎょうのまき,0,3
いっぱい,いっぱい,いっぱい,副詞,*,代表表記:一杯/いっぱい 修飾（ニ格）,１マントにんぎょうのまき,0,3
はえた,はえた,はえる,動詞,*,代表表記:映える/はえる,１マントにんぎょうのまき,0,3
にわ,にわ,にわ,名詞,普通名詞,代表表記:庭/にわ カテゴリ:場所-施設 漢字読み:訓,１マントにんぎょうのまき,0,3
で,で,で,助詞,格助詞,NIL,１マントにんぎょうのまき,0,3
かこま,かこま,かこむ,動詞,*,代表表記:囲む/かこむ,１マントにんぎょうのまき,0,3
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,１マントにんぎょうのまき,0,3
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１マントにんぎょうのまき,0,3
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１マントにんぎょうのまき,0,3
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,3
この,この,この,指示詞,連体詞形態指示詞,NIL,１マントにんぎょうのまき,0,4
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,１マントにんぎょうのまき,0,4
いえ,いえ,いえ,名詞,普通名詞,代表表記:家/いえ ドメイン:家庭・暮らし カテゴリ:組織・団体;場所-施設 漢字読み:訓,１マントにんぎょうのまき,0,4
の,の,の,助詞,格助詞,NIL,１マントにんぎょうのまき,0,4
