見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
「,「,「,特殊,括弧始,NIL,上,0,0
あの,あの,あの,指示詞,連体詞形態指示詞,NIL,上,0,0
泥坊,泥坊,泥坊,未定義語,その他,未知語:漢字 品詞推定:名詞,上,0,0
が,が,が,助詞,格助詞,NIL,上,0,0
羨,羨,羨,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,上,0,0
しい,しい,しい,名詞,普通名詞,代表表記:四囲/しい カテゴリ:抽象物,上,0,0
」,」,」,特殊,括弧終,NIL,上,0,0
二,に,二,名詞,数詞,カテゴリ:数量,上,0,0
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,上,0,0
の,の,の,助詞,接続助詞,NIL,上,0,0
間,あいだ,間,名詞,副詞的名詞,代表表記:間/あいだ,上,0,0
に,に,に,助詞,格助詞,NIL,上,0,0
こんな,こんな,こんな,指示詞,連体詞形態指示詞,NIL,上,0,0
言葉,ことば,言葉,名詞,普通名詞,代表表記:言葉/ことば カテゴリ:抽象物,上,0,0
が,が,が,助詞,格助詞,NIL,上,0,0
交,交,交,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,上,0,0
さ,さ,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,上,0,0
れる,れる,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,上,0,0
程,ほど,程,名詞,副詞的名詞,代表表記:程/ほど,上,0,0
、,、,、,特殊,読点,NIL,上,0,0
其頃,其頃,其頃,未定義語,その他,未知語:漢字 品詞推定:名詞,上,0,0
は,は,は,助詞,副助詞,NIL,上,0,0
窮迫,きゅうはく,窮迫,名詞,サ変名詞,代表表記:窮迫/きゅうはく カテゴリ:抽象物,上,0,0
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,上,0,0
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,上,0,0
。,。,。,特殊,句点,NIL,上,0,0
場末,ばすえ,場末,名詞,普通名詞,代表表記:場末/ばすえ カテゴリ:場所-その他,上,0,1
の,の,の,助詞,格助詞,NIL,上,0,1
貧弱な,ひんじゃくな,貧弱だ,形容詞,*,代表表記:貧弱だ/ひんじゃくだ,上,0,1
下駄,げた,下駄,名詞,普通名詞,代表表記:下駄/げた ドメイン:家庭・暮らし カテゴリ:人工物-衣類,上,0,1
屋,や,屋,名詞,普通名詞,代表表記:屋/や カテゴリ:場所-施設 漢字読み:訓,上,0,1
の,の,の,助詞,接続助詞,NIL,上,0,1
二,に,二,名詞,数詞,カテゴリ:数量,上,0,1
階,かい,階,接尾辞,名詞性名詞助数辞,代表表記:階/かい 準内容語,上,0,1
の,の,の,助詞,格助詞,NIL,上,0,1
、,、,、,特殊,読点,NIL,上,0,1
ただ,ただ,ただ,副詞,*,代表表記:唯/ただ 修飾（デ格） 数量修飾,上,0,1
一,いち,一,名詞,数詞,カテゴリ:数量,上,0,1
間,かん,間,接尾辞,名詞性名詞接尾辞,代表表記:間/かん,上,0,1
しか,しか,しか,助詞,副助詞,NIL,上,0,1
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,上,0,1
六,ろく,六,名詞,数詞,カテゴリ:数量,上,0,1
畳,じょう,畳,接尾辞,名詞性名詞助数辞,代表表記:畳/じょう 準内容語,上,0,1
に,に,に,助詞,格助詞,NIL,上,0,1
、,、,、,特殊,読点,NIL,上,0,1
一閑,一閑,一閑,未定義語,その他,未知語:漢字 品詞推定:名詞,上,0,1
張り,はり,張り,名詞,普通名詞,代表表記:張り/はりv 連用形名詞化:張る/はる,上,0,1
の,の,の,助詞,接続助詞,NIL,上,0,1
破れ,やぶれ,破れ,名詞,普通名詞,代表表記:破れ/やぶれv 自他動詞:他:破る/やぶる 連用形名詞化:破れる/やぶれる,上,0,1
机,つくえ,机,名詞,普通名詞,代表表記:机/つくえ ドメイン:教育・学習;ビジネス カテゴリ:人工物-その他 漢字読み:訓,上,0,1
を,を,を,助詞,格助詞,NIL,上,0,1
二,に,二,名詞,数詞,カテゴリ:数量,上,0,1
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,上,0,1
並べて,ならべて,並べる,動詞,*,代表表記:並べる/ならべる 可能動詞:並ぶ/ならぶ 付属動詞候補（基本）,上,0,1
、,、,、,特殊,読点,NIL,上,0,1
松村,まつむら,松村,名詞,人名,人名:日本:姓:430:0.00067,上,0,1
武,たかし,武,名詞,人名,人名:日本:名:53:0.00098,上,0,1
と,と,と,助詞,格助詞,NIL,上,0,1
この,この,この,指示詞,連体詞形態指示詞,NIL,上,0,1
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,上,0,1
と,と,と,助詞,格助詞,NIL,上,0,1
が,が,が,助詞,格助詞,NIL,上,0,1
、,、,、,特殊,読点,NIL,上,0,1
変な,へんな,変だ,形容詞,*,代表表記:変だ/へんだ,上,0,1
空想,くうそう,空想,名詞,サ変名詞,代表表記:空想/くうそう カテゴリ:抽象物 反義:名詞-普通名詞:現実/げんじつ 補文ト,上,0,1
ばかり,ばかり,ばかり,助詞,副助詞,NIL,上,0,1
逞,逞,逞,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,上,0,1
しゅう,しゅう,しゅう,名詞,時相名詞,代表表記:秋/しゅう カテゴリ:時間 漢字読み:音,上,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,上,0,1
、,、,、,特殊,読点,NIL,上,0,1
ゴロゴロ,ごろごろ,ゴロゴロ,副詞,*,代表表記:ゴロゴロ/ごろごろ スル接続可能,上,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,上,0,1
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,上,0,1
頃,ころ,頃,名詞,副詞的名詞,代表表記:頃/ころ,上,0,1
の,の,の,助詞,接続助詞,NIL,上,0,1
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,上,0,1
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,上,0,1
である,である,だ,判定詞,*,NIL,上,0,1
。,。,。,特殊,句点,NIL,上,0,1
もう,もう,もう,副詞,*,代表表記:もう/もう 数量修飾,上,0,2
何もかも,なにもかも,何もかも,副詞,*,代表表記:何もかも/なにもかも,上,0,2
行詰って,いきづまって,行詰る,動詞,*,代表表記:行き詰まる/いきづまる,上,0,2
了って,了って,了る,動詞,*,自動獲得:Wiktionary 読み不明,上,0,2
、,、,、,特殊,読点,NIL,上,0,2
動き,うごき,動き,名詞,普通名詞,代表表記:動き/うごきv 反義:動詞:止まる/とまる 自他動詞:他:動かす/うごかす 連用形名詞化:動く/うごく,上,0,2
の,の,の,助詞,格助詞,NIL,上,0,2
取れ,とれ,取れる,動詞,*,代表表記:取れる/とれる 可能動詞:取る/とる 付属動詞候補（基本）,上,0,2
なかった,なかった,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,上,0,2
二,に,二,名詞,数詞,カテゴリ:数量,上,0,2
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,上,0,2
は,は,は,助詞,副助詞,NIL,上,0,2
、,、,、,特殊,読点,NIL,上,0,2
丁度,ちょうど,丁度,副詞,*,代表表記:丁度/ちょうど 数量修飾,上,0,2
その頃,そのころ,その頃,名詞,時相名詞,代表表記:その頃/そのころ カテゴリ:時間,上,0,2
世間,せけん,世間,名詞,普通名詞,代表表記:世間/せけん カテゴリ:抽象物,上,0,2
を,を,を,助詞,格助詞,NIL,上,0,2
騒が,さわが,騒ぐ,動詞,*,代表表記:騒ぐ/さわぐ 補文ト 形容詞派生:騒がしい/さわがしい,上,0,2
せた,せた,せる,接尾辞,動詞性接尾辞,代表表記:せる/せる,上,0,2
大泥坊,大泥坊,大泥坊,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:絶体絶命でんぢゃらすじーさん 読み不明,上,0,2
の,の,の,助詞,格助詞,NIL,上,0,2
、,、,、,特殊,読点,NIL,上,0,2
巧みな,たくみな,巧みだ,形容詞,*,代表表記:巧みだ/たくみだ,上,0,2
やり口,やりくち,やり口,名詞,普通名詞,代表表記:遣り口/やりくち カテゴリ:抽象物,上,0,2
を,を,を,助詞,格助詞,NIL,上,0,2
羨む,うらやむ,羨む,動詞,*,代表表記:羨む/うらやむ,上,0,2
様な,ような,様だ,助動詞,*,NIL,上,0,2
、,、,、,特殊,読点,NIL,上,0,2
さもしい,さもしい,さもしい,形容詞,*,代表表記:さもしい/さもしい,上,0,2
心持,こころもち,心持,名詞,普通名詞,代表表記:心持/こころもち 自動獲得:EN_Wiktionary,上,0,2
に,に,に,助詞,格助詞,NIL,上,0,2
なって,なって,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,上,0,2
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,上,0,2
。,。,。,特殊,句点,NIL,上,0,2
その,その,その,指示詞,連体詞形態指示詞,NIL,上,0,3
泥坊,泥坊,泥坊,未定義語,その他,未知語:漢字 品詞推定:名詞,上,0,3
事件,じけん,事件,名詞,普通名詞,代表表記:事件/じけん ドメイン:政治 カテゴリ:抽象物,上,0,3
と,と,と,助詞,格助詞,NIL,上,0,3
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,上,0,3
の,の,の,名詞,形式名詞,NIL,上,0,3
が,が,が,助詞,格助詞,NIL,上,0,3
、,、,、,特殊,読点,NIL,上,0,3
この,この,この,指示詞,連体詞形態指示詞,NIL,上,0,3
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,上,0,3
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,上,0,3
の,の,の,助詞,接続助詞,NIL,上,0,3
本筋,ほんすじ,本筋,名詞,普通名詞,代表表記:本筋/ほんすじ カテゴリ:抽象物,上,0,3
に,に,に,助詞,格助詞,NIL,上,0,3
大,だい,大,接頭辞,名詞接頭辞,代表表記:大/だい 反義:接頭辞-名詞接頭辞:小/しょう 内容語 換言:+N:Nが大きい,上,0,3
関係,かんけい,関係,名詞,サ変名詞,代表表記:関係/かんけい カテゴリ:抽象物,上,0,3
を,を,を,助詞,格助詞,NIL,上,0,3
持って,もって,持つ,動詞,*,代表表記:持つ/もつ,上,0,3
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,上,0,3
ので,ので,のだ,助動詞,*,NIL,上,0,3
、,、,、,特殊,読点,NIL,上,0,3
茲,茲,茲,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,上,0,3
に,に,に,助詞,格助詞,NIL,上,0,3
ザッ,ザッ,ザッ,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,上,0,3
と,と,と,助詞,格助詞,NIL,上,0,3
それ,それ,それ,指示詞,名詞形態指示詞,NIL,上,0,3
を,を,を,助詞,格助詞,NIL,上,0,3
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,上,0,3
話して,はなして,話す,動詞,*,代表表記:話す/はなす 補文ト,上,0,3
置く,おく,置く,動詞,*,代表表記:置く/おく,上,0,3
こと,こと,こと,名詞,形式名詞,NIL,上,0,3
に,に,に,助詞,格助詞,NIL,上,0,3
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,上,0,3
。,。,。,特殊,句点,NIL,上,0,3
芝,しば,芝,名詞,普通名詞,代表表記:芝/しば カテゴリ:植物 漢字読み:訓,上,0,4
区,く,区,名詞,普通名詞,代表表記:区/く カテゴリ:組織・団体;場所-その他 漢字読み:音 住所末尾,上,0,4
の,の,の,助詞,接続助詞,NIL,上,0,4
さる,さる,さる,名詞,普通名詞,代表表記:猿/さる カテゴリ:動物 漢字読み:訓,上,0,4
大きな,おおきな,大きな,連体詞,*,代表表記:大きな/おおきな 反義:連体詞:小さな/ちいさな 形容詞派生:大きい/おおきい,上,0,4
電気,でんき,電気,名詞,普通名詞,代表表記:電気/でんき ドメイン:家庭・暮らし;科学・技術 カテゴリ:抽象物,上,0,4
工場,こうじょう,工場,名詞,普通名詞,代表表記:工場/こうじょう ドメイン:ビジネス カテゴリ:場所-施設,上,0,4
の,の,の,助詞,接続助詞,NIL,上,0,4
職工,職工,職工,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:はたらく一家 読み不明,上,0,4
給料,きゅうりょう,給料,名詞,普通名詞,代表表記:給料/きゅうりょう ドメイン:ビジネス カテゴリ:人工物-金銭,上,0,4
日,にち,日,名詞,時相名詞,代表表記:日/にち カテゴリ:時間 漢字読み:音,上,0,4
当日,とうじつ,当日,名詞,時相名詞,代表表記:当日/とうじつ カテゴリ:時間,上,0,4
の,の,の,助詞,接続助詞,NIL,上,0,4
出来事,できごと,出来事,名詞,普通名詞,代表表記:出来事/できごと カテゴリ:抽象物,上,0,4
であった,であった,だ,判定詞,*,NIL,上,0,4
。,。,。,特殊,句点,NIL,上,0,4
十数,十数,十数,未定義語,その他,未知語:漢字 品詞推定:名詞,上,0,5
名,めい,名,接尾辞,名詞性名詞助数辞,代表表記:名/めい カテゴリ:人 準内容語,上,0,5
の,の,の,助詞,接続助詞,NIL,上,0,5
賃銀,ちんぎん,賃銀,名詞,普通名詞,代表表記:賃金/ちんぎん ドメイン:ビジネス カテゴリ:人工物-金銭,上,0,5
計算,けいさん,計算,名詞,サ変名詞,代表表記:計算/けいさん カテゴリ:抽象物 補文ト,上,0,5
係,かかり,係,名詞,普通名詞,代表表記:係/かかり カテゴリ:抽象物 漢字読み:訓,上,0,5
が,が,が,助詞,格助詞,NIL,上,0,5
、,、,、,特殊,読点,NIL,上,0,5
一万,一万,一万,名詞,数詞,カテゴリ:数量 未知語:数字,上,0,5
に,に,に,助詞,格助詞,NIL,上,0,5
近い,ちかい,近い,形容詞,*,代表表記:近い/ちかい 反義:形容詞:遠い/とおい,上,0,5
職工,職工,職工,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:はたらく一家 読み不明,上,0,5
の,の,の,助詞,接続助詞,NIL,上,0,5
タイム,たいむ,タイム,名詞,普通名詞,代表表記:タイム/たいむ ドメイン:料理・食事;無し カテゴリ:植物;人工物-食べ物;抽象物 多義,上,0,5
・,・,・,特殊,記号,NIL,上,0,5
カード,かーど,カード,名詞,普通名詞,代表表記:カード/かーど カテゴリ:人工物-金銭;人工物-その他,上,0,5
から,から,から,助詞,格助詞,NIL,上,0,5
、,、,、,特殊,読点,NIL,上,0,5
夫々,夫々,夫々,未定義語,その他,未知語:漢字 品詞推定:名詞,上,0,5
一,いち,一,名詞,数詞,カテゴリ:数量,上,0,5
ヶ月,かげつ,ヶ月,接尾辞,名詞性名詞助数辞,代表表記:か月/かげつ カテゴリ:時間 準内容語,上,0,5
の,の,の,助詞,接続助詞,NIL,上,0,5
賃銀,ちんぎん,賃銀,名詞,普通名詞,代表表記:賃金/ちんぎん ドメイン:ビジネス カテゴリ:人工物-金銭,上,0,5
を,を,を,助詞,格助詞,NIL,上,0,5
計算,けいさん,計算,名詞,サ変名詞,代表表記:計算/けいさん カテゴリ:抽象物 補文ト,上,0,5
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,上,0,5
、,、,、,特殊,読点,NIL,上,0,5
山,さん,山,名詞,普通名詞,代表表記:山/さん カテゴリ:場所-自然 漢字読み:音 地名末尾,上,0,5
と,と,と,助詞,格助詞,NIL,上,0,5
積ま,つま,積む,動詞,*,代表表記:積む/つむ 反義:動詞:降ろす/おろす 自他動詞:自:積もる/つもる,上,0,5
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,上,0,5
給料,きゅうりょう,給料,名詞,普通名詞,代表表記:給料/きゅうりょう ドメイン:ビジネス カテゴリ:人工物-金銭,上,0,5
袋,ふくろ,袋,名詞,普通名詞,代表表記:袋/ふくろ カテゴリ:人工物-その他 漢字読み:訓,上,0,5
の,の,の,助詞,接続助詞,NIL,上,0,5
中,なか,中,名詞,副詞的名詞,代表表記:中/なか,上,0,5
へ,へ,へ,助詞,格助詞,NIL,上,0,5
、,、,、,特殊,読点,NIL,上,0,5
当日,とうじつ,当日,名詞,時相名詞,代表表記:当日/とうじつ カテゴリ:時間,上,0,5
銀行,ぎんこう,銀行,名詞,普通名詞,代表表記:銀行/ぎんこう ドメイン:ビジネス カテゴリ:組織・団体;場所-施設 組織名末尾,上,0,5
から,から,から,助詞,格助詞,NIL,上,0,5
