見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
それ,それ,それ,指示詞,名詞形態指示詞,NIL,（上）事実,0,0
は,は,は,助詞,副助詞,NIL,（上）事実,0,0
九,きゅう,九,名詞,数詞,カテゴリ:数量,（上）事実,0,0
月,がつ,月,接尾辞,名詞性名詞助数辞,代表表記:月/がつ カテゴリ:時間 準内容語,（上）事実,0,0
初旬,しょじゅん,初旬,名詞,時相名詞,代表表記:初旬/しょじゅん カテゴリ:時間,（上）事実,0,0
の,の,の,助詞,格助詞,NIL,（上）事実,0,0
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,（上）事実,0,0
蒸し暑い,むしあつい,蒸し暑い,形容詞,*,代表表記:蒸し暑い/むしあつい,（上）事実,0,0
晩,ばん,晩,名詞,時相名詞,代表表記:晩/ばん カテゴリ:時間 漢字読み:音,（上）事実,0,0
の,の,の,助詞,接続助詞,NIL,（上）事実,0,0
こと,こと,こと,名詞,形式名詞,NIL,（上）事実,0,0
であった,であった,だ,判定詞,*,NIL,（上）事実,0,0
。,。,。,特殊,句点,NIL,（上）事実,0,0
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,（上）事実,0,1
は,は,は,助詞,副助詞,NIL,（上）事実,0,1
、,、,、,特殊,読点,NIL,（上）事実,0,1
Ｄ,Ｄ,Ｄ,特殊,記号,NIL,（上）事実,0,1
坂,さか,坂,名詞,地名,代表表記:坂/さか 地名:日本:広島県:町,（上）事実,0,1
の,の,の,助詞,接続助詞,NIL,（上）事実,0,1
大通り,おおどおり,大通り,名詞,普通名詞,代表表記:大通り/おおどおり ドメイン:交通 カテゴリ:場所-その他,（上）事実,0,1
の,の,の,助詞,接続助詞,NIL,（上）事実,0,1
中程,なかほど,中程,名詞,普通名詞,代表表記:中程/なかほど カテゴリ:抽象物,（上）事実,0,1
に,に,に,助詞,格助詞,NIL,（上）事実,0,1
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,（上）事実,0,1
、,、,、,特殊,読点,NIL,（上）事実,0,1
白梅,しらうめ,白梅,名詞,普通名詞,代表表記:白梅/しらうめ カテゴリ:植物,（上）事実,0,1
軒,のき,軒,名詞,普通名詞,代表表記:軒/のき ドメイン:家庭・暮らし カテゴリ:場所-施設部位 漢字読み:訓,（上）事実,0,1
と,と,と,助詞,格助詞,NIL,（上）事実,0,1
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,（上）事実,0,1
、,、,、,特殊,読点,NIL,（上）事実,0,1
行きつけ,いきつけ,行きつく,動詞,*,代表表記:行き着く/いきつく ドメイン:交通,（上）事実,0,1
の,の,の,助詞,接続助詞,NIL,（上）事実,0,1
カフェ,かふぇ,カフェ,名詞,普通名詞,代表表記:カフェ/かふぇ ドメイン:料理・食事 カテゴリ:場所-施設,（上）事実,0,1
で,で,で,助詞,格助詞,NIL,（上）事実,0,1
、,、,、,特殊,読点,NIL,（上）事実,0,1
冷し,ひやし,冷し,名詞,普通名詞,代表表記:冷やし/ひやしv 反義:動詞:温める/あたためる;動詞:暖める/あたためる 自他動詞:自:冷える/ひえる 連用形名詞化:冷やす/ひやす,（上）事実,0,1
コーヒー,こーひー,コーヒー,名詞,普通名詞,代表表記:珈琲/こーひー ドメイン:料理・食事 カテゴリ:人工物-食べ物,（上）事実,0,1
を,を,を,助詞,格助詞,NIL,（上）事実,0,1
啜って,啜って,啜る,動詞,*,代表表記:啜る/啜る 自動獲得:テキスト,（上）事実,0,1
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,（上）事実,0,1
。,。,。,特殊,句点,NIL,（上）事実,0,1
当時,とうじ,当時,名詞,時相名詞,代表表記:当時/とうじ カテゴリ:時間,（上）事実,0,2
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,（上）事実,0,2
は,は,は,助詞,副助詞,NIL,（上）事実,0,2
、,、,、,特殊,読点,NIL,（上）事実,0,2
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,（上）事実,0,2
を,を,を,助詞,格助詞,NIL,（上）事実,0,2
出た,でた,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,（上）事実,0,2
ばかりで,ばかりで,ばかりだ,助動詞,*,NIL,（上）事実,0,2
、,、,、,特殊,読点,NIL,（上）事実,0,2
まだ,まだ,まだ,副詞,*,代表表記:まだ/まだ,（上）事実,0,2
これという,これという,これという,連体詞,*,代表表記:これという/これという,（上）事実,0,2
職業,しょくぎょう,職業,名詞,普通名詞,代表表記:職業/しょくぎょう ドメイン:ビジネス カテゴリ:抽象物,（上）事実,0,2
も,も,も,助詞,副助詞,NIL,（上）事実,0,2
なく,なく,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,（上）事実,0,2
、,、,、,特殊,読点,NIL,（上）事実,0,2
下宿,げしゅく,下宿,名詞,サ変名詞,代表表記:下宿/げしゅく ドメイン:家庭・暮らし カテゴリ:抽象物,（上）事実,0,2
屋,や,屋,名詞,普通名詞,代表表記:屋/や カテゴリ:場所-施設 漢字読み:訓,（上）事実,0,2
に,に,に,助詞,格助詞,NIL,（上）事実,0,2
ゴロゴロ,ごろごろ,ゴロゴロ,副詞,*,代表表記:ゴロゴロ/ごろごろ スル接続可能,（上）事実,0,2
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,（上）事実,0,2
本,ほん,本,名詞,普通名詞,代表表記:本/ほん カテゴリ:人工物-その他;抽象物 漢字読み:音,（上）事実,0,2
でも,でも,でも,助詞,副助詞,NIL,（上）事実,0,2
読んで,よんで,読む,動詞,*,代表表記:読む/よむ,（上）事実,0,2
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,（上）事実,0,2
か,か,か,助詞,接続助詞,NIL,（上）事実,0,2
、,、,、,特殊,読点,NIL,（上）事実,0,2
それ,それ,それ,指示詞,名詞形態指示詞,NIL,（上）事実,0,2
に,に,に,助詞,格助詞,NIL,（上）事実,0,2
飽,あき,飽,名詞,普通名詞,代表表記:飽き/あきv 連用形名詞化:飽きる/あきる 送り仮名引っ込み,（上）事実,0,2
る,る,る,接尾辞,動詞性接尾辞,代表表記:る/る,（上）事実,0,2
と,と,と,助詞,格助詞,NIL,（上）事実,0,2
、,、,、,特殊,読点,NIL,（上）事実,0,2
当て,あて,当て,名詞,普通名詞,代表表記:当て/あてv 反義:動詞:外す/はずす 自他動詞:自:当たる/あたる 連用形名詞化:当てる/あてる,（上）事実,0,2
ども,ども,ども,接尾辞,名詞性名詞接尾辞,代表表記:ども/ども,（上）事実,0,2
なく,なく,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,（上）事実,0,2
散歩,さんぽ,散歩,名詞,サ変名詞,代表表記:散歩/さんぽ ドメイン:レクリエーション カテゴリ:抽象物,（上）事実,0,2
に,に,に,助詞,格助詞,NIL,（上）事実,0,2
出て,でて,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,（上）事実,0,2
、,、,、,特殊,読点,NIL,（上）事実,0,2
あまり,あまり,あまり,副詞,*,代表表記:余り/あまり 形容詞派生:余りだ/あまりだ 修飾（ニ格） 数量修飾,（上）事実,0,2
費用,ひよう,費用,名詞,普通名詞,代表表記:費用/ひよう カテゴリ:人工物-金銭,（上）事実,0,2
の,の,の,助詞,格助詞,NIL,（上）事実,0,2
かから,かから,かかる,動詞,*,代表表記:係る/かかる 名詞派生:係/かかり,（上）事実,0,2
ぬ,ぬ,ぬ,助動詞,*,NIL,（上）事実,0,2
カフェ,かふぇ,カフェ,名詞,普通名詞,代表表記:カフェ/かふぇ ドメイン:料理・食事 カテゴリ:場所-施設,（上）事実,0,2
廻り,まわり,廻り,名詞,普通名詞,代表表記:回り/まわりv 自他動詞:他:回す/まわす 連用形名詞化:回る/まわる 付属動詞候補（基本） 付属動詞候補（タ系）,（上）事実,0,2
を,を,を,助詞,格助詞,NIL,（上）事実,0,2
やる,やる,やる,動詞,*,代表表記:やる/やる 付属動詞候補（タ系）,（上）事実,0,2
位,くらい,位,名詞,副詞的名詞,代表表記:くらい/くらい,（上）事実,0,2
が,が,が,助詞,格助詞,NIL,（上）事実,0,2
、,、,、,特殊,読点,NIL,（上）事実,0,2
毎日,まいにち,毎日,名詞,時相名詞,代表表記:毎日/まいにち カテゴリ:時間,（上）事実,0,2
の,の,の,助詞,接続助詞,NIL,（上）事実,0,2
日課,にっか,日課,名詞,普通名詞,代表表記:日課/にっか カテゴリ:抽象物,（上）事実,0,2
だった,だった,だ,判定詞,*,NIL,（上）事実,0,2
。,。,。,特殊,句点,NIL,（上）事実,0,2
この,この,この,指示詞,連体詞形態指示詞,NIL,（上）事実,0,3
白梅,しらうめ,白梅,名詞,普通名詞,代表表記:白梅/しらうめ カテゴリ:植物,（上）事実,0,3
軒,のき,軒,名詞,普通名詞,代表表記:軒/のき ドメイン:家庭・暮らし カテゴリ:場所-施設部位 漢字読み:訓,（上）事実,0,3
と,と,と,助詞,格助詞,NIL,（上）事実,0,3
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,（上）事実,0,3
の,の,の,名詞,形式名詞,NIL,（上）事実,0,3
は,は,は,助詞,副助詞,NIL,（上）事実,0,3
、,、,、,特殊,読点,NIL,（上）事実,0,3
下宿,げしゅく,下宿,名詞,サ変名詞,代表表記:下宿/げしゅく ドメイン:家庭・暮らし カテゴリ:抽象物,（上）事実,0,3
屋,や,屋,名詞,普通名詞,代表表記:屋/や カテゴリ:場所-施設 漢字読み:訓,（上）事実,0,3
から,から,から,助詞,格助詞,NIL,（上）事実,0,3
近く,ちかく,近く,名詞,普通名詞,代表表記:近く/ちかく カテゴリ:場所-機能;時間 反義:名詞-普通名詞:遠く/とおく 形容詞派生:近い/ちかい,（上）事実,0,3
も,も,も,助詞,副助詞,NIL,（上）事実,0,3
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,（上）事実,0,3
、,、,、,特殊,読点,NIL,（上）事実,0,3
どこ,どこ,どこ,指示詞,名詞形態指示詞,代表表記:どこ/どこ,（上）事実,0,3
へ,へ,へ,助詞,格助詞,NIL,（上）事実,0,3
散歩,さんぽ,散歩,名詞,サ変名詞,代表表記:散歩/さんぽ ドメイン:レクリエーション カテゴリ:抽象物,（上）事実,0,3
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,（上）事実,0,3
に,に,に,助詞,接続助詞,NIL,（上）事実,0,3
も,も,も,助詞,副助詞,NIL,（上）事実,0,3
、,、,、,特殊,読点,NIL,（上）事実,0,3
必ず,かならず,必ず,副詞,*,代表表記:必ず/かならず,（上）事実,0,3
その,その,その,指示詞,連体詞形態指示詞,NIL,（上）事実,0,3
前,まえ,前,名詞,副詞的名詞,代表表記:前/まえ,（上）事実,0,3
を,を,を,助詞,格助詞,NIL,（上）事実,0,3
通る,とおる,通る,動詞,*,代表表記:通る/とおる 自他動詞:他:通す/とおす,（上）事実,0,3
様な,ような,様だ,助動詞,*,NIL,（上）事実,0,3
位置,いち,位置,名詞,サ変名詞,代表表記:位置/いち カテゴリ:場所-その他,（上）事実,0,3
に,に,に,助詞,格助詞,NIL,（上）事実,0,3
あった,あった,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,（上）事実,0,3
ので,ので,のだ,助動詞,*,NIL,（上）事実,0,3
、,、,、,特殊,読点,NIL,（上）事実,0,3
随,随,随,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,（上）事実,0,3
って,って,って,助詞,副助詞,NIL,（上）事実,0,3
一番,いちばん,一番,副詞,*,代表表記:一番/いちばん 用言弱修飾 相対名詞修飾,（上）事実,0,3
よく,よく,よい,形容詞,*,代表表記:良い/よい 反義:形容詞:悪い/わるい,（上）事実,0,3
出入,出入,出入,名詞,普通名詞,代表表記:出入/出入 自動獲得:テキスト 副詞識別,（上）事実,0,3
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,（上）事実,0,3
訳,やく,訳,名詞,普通名詞,代表表記:訳/やく ドメイン:文化・芸術 カテゴリ:抽象物 漢字読み:音,（上）事実,0,3
であった,であった,だ,判定詞,*,NIL,（上）事実,0,3
が,が,が,助詞,接続助詞,NIL,（上）事実,0,3
、,、,、,特殊,読点,NIL,（上）事実,0,3
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,（上）事実,0,3
と,と,と,助詞,格助詞,NIL,（上）事実,0,3
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,（上）事実,0,3
男,おとこ,男,名詞,普通名詞,代表表記:男/おとこ カテゴリ:人 漢字読み:訓,（上）事実,0,3
は,は,は,助詞,副助詞,NIL,（上）事実,0,3
悪い,わるい,悪い,形容詞,*,代表表記:悪い/わるい 反義:形容詞:良い/よい,（上）事実,0,3
癖,くせ,癖,名詞,普通名詞,代表表記:癖/くせ カテゴリ:抽象物 漢字読み:訓 修飾（ニ格）,（上）事実,0,3
で,で,だ,判定詞,*,NIL,（上）事実,0,3
、,、,、,特殊,読点,NIL,（上）事実,0,3
カフェ,かふぇ,カフェ,名詞,普通名詞,代表表記:カフェ/かふぇ ドメイン:料理・食事 カテゴリ:場所-施設,（上）事実,0,3
に,に,に,助詞,格助詞,NIL,（上）事実,0,3
入る,はいる,入る,動詞,*,代表表記:入る/はいる 反義:動詞:出る/でる 自他動詞:他:入れる/いれる,（上）事実,0,3
と,と,と,助詞,格助詞,NIL,（上）事実,0,3
どうも,どうも,どうも,副詞,*,代表表記:どうも/どうも,（上）事実,0,3
長,なが,長い,形容詞,*,代表表記:長い/ながい 反義:形容詞:短い/みじかい,（上）事実,0,3
尻,しり,尻,名詞,普通名詞,代表表記:尻/しり カテゴリ:動物-部位,（上）事実,0,3
に,に,に,助詞,格助詞,NIL,（上）事実,0,3
なる,なる,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,（上）事実,0,3
。,。,。,特殊,句点,NIL,（上）事実,0,3
それ,それ,それ,指示詞,名詞形態指示詞,NIL,（上）事実,0,4
も,も,も,助詞,副助詞,NIL,（上）事実,0,4
、,、,、,特殊,読点,NIL,（上）事実,0,4
元来,がんらい,元来,副詞,*,代表表記:元来/がんらい,（上）事実,0,4
食慾,食慾,食慾,名詞,普通名詞,自動獲得:Wiktionary 読み不明,（上）事実,0,4
の,の,の,助詞,格助詞,NIL,（上）事実,0,4
少い,すくない,少い,形容詞,*,代表表記:少ない/すくない 反義:形容詞:多い/おおい,（上）事実,0,4
方,ほう,方,名詞,副詞的名詞,代表表記:方/ほう,（上）事実,0,4
な,な,だ,判定詞,*,NIL,（上）事実,0,4
ので,ので,のだ,助動詞,*,NIL,（上）事実,0,4
、,、,、,特殊,読点,NIL,（上）事実,0,4
一,いち,一,名詞,数詞,カテゴリ:数量,（上）事実,0,4
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,（上）事実,0,4
は,は,は,助詞,副助詞,NIL,（上）事実,0,4
嚢中,嚢中,嚢中,名詞,普通名詞,自動獲得:Wiktionary 読み不明,（上）事実,0,4
の,の,の,助詞,格助詞,NIL,（上）事実,0,4
乏しい,とぼしい,乏しい,形容詞,*,代表表記:乏しい/とぼしい,（上）事実,0,4
せい,せい,せい,名詞,副詞的名詞,代表表記:せい/せい,（上）事実,0,4
も,も,も,助詞,副助詞,NIL,（上）事実,0,4
あって,あって,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,（上）事実,0,4
だ,だ,だ,判定詞,*,NIL,（上）事実,0,4
が,が,が,助詞,接続助詞,NIL,（上）事実,0,4
、,、,、,特殊,読点,NIL,（上）事実,0,4
洋食,ようしょく,洋食,名詞,普通名詞,代表表記:洋食/ようしょく ドメイン:料理・食事 カテゴリ:人工物-食べ物,（上）事実,0,4
一,いち,一,名詞,数詞,カテゴリ:数量,（上）事実,0,4
皿,さら,皿,名詞,普通名詞,代表表記:皿/さら ドメイン:料理・食事 カテゴリ:人工物-その他 漢字読み:訓,（上）事実,0,4
注文,ちゅうもん,注文,名詞,サ変名詞,代表表記:注文/ちゅうもん ドメイン:料理・食事;ビジネス カテゴリ:抽象物 補文ト,（上）事実,0,4
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,（上）事実,0,4
で,で,で,助詞,格助詞,NIL,（上）事実,0,4
なく,なく,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,（上）事実,0,4
、,、,、,特殊,読点,NIL,（上）事実,0,4
安い,やすい,安い,形容詞,*,代表表記:安い/やすい 反義:形容詞:高い/たかい,（上）事実,0,4
コーヒー,こーひー,コーヒー,名詞,普通名詞,代表表記:珈琲/こーひー ドメイン:料理・食事 カテゴリ:人工物-食べ物,（上）事実,0,4
を,を,を,助詞,格助詞,NIL,（上）事実,0,4
二,に,二,名詞,数詞,カテゴリ:数量,（上）事実,0,4
杯,はい,杯,接尾辞,名詞性名詞助数辞,代表表記:杯/はい 準内容語,（上）事実,0,4
も,も,も,助詞,副助詞,NIL,（上）事実,0,4
三,さん,三,名詞,数詞,カテゴリ:数量,（上）事実,0,4
杯,はい,杯,接尾辞,名詞性名詞助数辞,代表表記:杯/はい 準内容語,（上）事実,0,4
も,も,も,助詞,副助詞,NIL,（上）事実,0,4
お代り,おかわり,お代り,名詞,サ変名詞,代表表記:御代わり/おかわり ドメイン:料理・食事 カテゴリ:抽象物,（上）事実,0,4
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,（上）事実,0,4
、,、,、,特殊,読点,NIL,（上）事実,0,4
一,いち,一,名詞,数詞,カテゴリ:数量,（上）事実,0,4
時間,じかん,時間,接尾辞,名詞性名詞助数辞,代表表記:時間/じかん カテゴリ:時間 準内容語,（上）事実,0,4
も,も,も,助詞,副助詞,NIL,（上）事実,0,4
二,に,二,名詞,数詞,カテゴリ:数量,（上）事実,0,4
時間,じかん,時間,接尾辞,名詞性名詞助数辞,代表表記:時間/じかん カテゴリ:時間 準内容語,（上）事実,0,4
も,も,も,助詞,副助詞,NIL,（上）事実,0,4
じっと,じっと,じっと,副詞,*,代表表記:ジッと/じっと スル接続可能,（上）事実,0,4
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,（上）事実,0,4
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,（上）事実,0,4
のだ,のだ,のだ,助動詞,*,NIL,（上）事実,0,4
。,。,。,特殊,句点,NIL,（上）事実,0,4
そう,そう,そう,指示詞,副詞形態指示詞,NIL,（上）事実,0,5
か,か,か,助詞,終助詞,NIL,（上）事実,0,5
と,と,と,助詞,格助詞,NIL,（上）事実,0,5
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,（上）事実,0,5
、,、,、,特殊,読点,NIL,（上）事実,0,5
別段,べつだん,別段,副詞,*,代表表記:別段/べつだん,（上）事実,0,5
、,、,、,特殊,読点,NIL,（上）事実,0,5
ウエトレス,ウエトレス,ウエトレス,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,（上）事実,0,5
